URL,Title,Relevansi,Ground_Truth,Confusion
https://www.cnbcindonesia.com/news/20260214104044-4-712300/kinerja-bank,"Harga Minyak Mendidih Karena Iran vs AS, Puluhan Emiten Ini Siap Pesta",False,False,TN
https://www.cnbcindonesia.com/news/20260213112055-4-712110/strategi-,Prabowo: Pertemuan Board of Peace untuk Upayakan Perdamaian di Gaza,False,False,TN
https://www.cnbcindonesia.com/news/20260211121033-4-711710/industri-,Marhaban Ya Ramadan: Ini  Kondisi Dompet Warga RI Jelang Puasa,False,False,TN
https://www.cnbcindonesia.com/news/20260209115022-4-711300/pasar-keuangan,"Daftar 10 Ikan Paling Beracun di Dunia, Wajib Tahu!",False,False,TN
https://www.cnbcindonesia.com/news/20260207113044-4-710900/bisnis-digital,Prabowo Bantah MBG Hambur-Hamburkan Uang: Ini Hasil Efisiensi Anggaran,False,False,TN
https://www.cnbcindonesia.com/market/20260207143055-17-710930/investasi-,"Praktik Investor Nakal Tak Hanya di RI, MSCI Bilang India Juga Ada",True,False,FP
https://www.cnbcindonesia.com/news/20260206104022-4-710720/ekonomi-global,"Indonesia Pasar Terbesar Restoran Jepang di ASEAN, Ada 6.500 Gerai",False,False,TN
https://www.cnbcindonesia.com/news/20260205112033-4-710520/pasar-modal-ri,"Potret Terbaru Banjir Besar Terjang Bogor, Rumah Retak-Prabotan Rusak",False,False,TN
https://www.cnbcindonesia.com/news/20260204101044-4-710310/kebijakan-,"Hilal Insentif Belum Jelas, Target Penjualan Mobil 2026 Dipatok Segini",True,False,FP
https://www.cnbcindonesia.com/news/20260203105055-4-710120/industri-energi,"Pedagang HP China Sudah Pasrah, Jualan Makin Susah di 2026",False,False,TN
https://www.cnbcindonesia.com/news/20260202111033-4-709920/ekspor-sawit,LRT Jabodebek Siap Dukung Penguatan Transportasi Publik Perkotaan,False,False,TN
https://www.cnbcindonesia.com/news/20260201103055-4-709700/ekonomi-,MSCI Bukan Segalanya! Ini Pola Baru Pergerakan IHSG,True,False,FP
https://www.cnbcindonesia.com/news/20260131112022-4-709500/pasar-keuangan-,Breaking: Jepang Resmi Hidupkan Nuklir Terbesar Dunia Hari Ini,False,False,TN
https://www.cnbcindonesia.com/news/20260128105055-4-708900/bisnis-indonesia,"Video: Harga Emas Meroket, Nasabah BSI Naik & Transaksi Tembus 1 Juta",False,False,TN
